game_id,home_team,visit_team
310107002,Boston Celtics,Toronto Raptors
301116007,Denver Nuggets,New York Knicks
301124030,Charlotte Hornets,New York Knicks
301222018,New York Knicks,Oklahoma City Thunder
310122025,Oklahoma City Thunder,New York Knicks
301206011,Indiana Pacers,Toronto Raptors
310124028,Toronto Raptors,Memphis Grizzlies
310211028,Toronto Raptors,Portland Trail Blazers
301213026,Utah Jazz,Golden State Warriors
310302027,Washington Wizards,Golden State Warriors
310405022,Portland Trail Blazers,Golden State Warriors
301112012,LA Clippers,Detroit Pistons
310408003,New Orleans Pelicans,Phoenix Suns
310320016,Minnesota Timberwolves,Sacramento Kings
301204016,Minnesota Timberwolves,Cleveland Cavaliers
310317022,Portland Trail Blazers,Cleveland Cavaliers
301219008,Detroit Pistons,New Orleans Pelicans
310205015,Milwaukee Bucks,Detroit Pistons
310223011,Indiana Pacers,Detroit Pistons
310330011,Indiana Pacers,Detroit Pistons
310401011,Indiana Pacers,Milwaukee Bucks
301120015,Milwaukee Bucks,Oklahoma City Thunder
310316026,Utah Jazz,Minnesota Timberwolves
310327025,Oklahoma City Thunder,Portland Trail Blazers
